 S11, S22, S33, S12, S23, S31, wp
  2.094356E+001, -2.200815E+002,  0.000000E+000, -2.385018E+000,  1.590243E+001, -1.825971E+001,  3.200293E-001
  8.788016E+000, -2.240410E+002,  0.000000E+000,  6.990582E+000,  1.557841E+001, -1.594093E+001,  3.201099E-001
 -2.490562E+000, -2.269668E+002,  0.000000E+000,  1.583870E+001,  1.506758E+001, -1.373877E+001,  3.203852E-001
 -1.050629E+001, -2.272450E+002,  0.000000E+000,  2.271890E+001,  1.340410E+001, -1.322652E+001,  3.202636E-001
 -1.566111E+001, -2.259603E+002,  0.000000E+000,  2.742906E+001,  1.038123E+001, -1.438952E+001,  3.203153E-001
 -2.037604E+001, -2.244711E+002,  0.000000E+000,  3.163884E+001,  7.266177E+000, -1.578074E+001,  3.206152E-001
 -2.545551E+001, -2.230062E+002,  0.000000E+000,  3.573630E+001,  4.214162E+000, -1.721117E+001,  3.205486E-001
 -3.146606E+001, -2.208639E+002,  0.000000E+000,  4.002539E+001,  1.801157E+000, -1.857567E+001,  3.202236E-001
 -3.752069E+001, -2.181009E+002,  0.000000E+000,  4.397653E+001, -7.646498E-002, -1.980704E+001,  3.201799E-001
 -4.105740E+001, -2.082298E+002,  0.000000E+000,  4.886045E+001, -1.015899E+000, -2.009656E+001,  3.203915E-001
 -4.265359E+001, -1.938977E+002,  0.000000E+000,  5.425910E+001, -1.202129E+000, -2.014336E+001,  3.202921E-001
  5.238930E+001, -1.403372E+002,  0.000000E+000, -7.364065E+001,  9.491711E+000, -7.256214E+000,  3.206290E-001
 -3.669458E+001, -1.754146E+002,  0.000000E+000,  5.848747E+001, -1.068475E+000, -1.962856E+001,  3.204312E-001
  4.869793E+001, -1.345572E+002,  0.000000E+000, -7.617621E+001,  1.081606E+001, -7.545228E+000,  3.204150E-001
 -2.968993E+001, -1.551054E+002,  0.000000E+000,  6.283163E+001, -5.554939E-001, -1.877922E+001,  3.200472E-001
  4.452091E+001, -1.279990E+002,  0.000000E+000, -7.892901E+001,  1.225118E+001, -7.897642E+000,  3.204977E-001
 -2.180744E+001, -1.331520E+002,  0.000000E+000,  6.736061E+001,  1.867780E-001, -1.773186E+001,  3.201670E-001
  4.167747E+001, -1.187991E+002,  0.000000E+000, -8.190661E+001,  1.309495E+001, -8.304956E+000,  3.206369E-001
 -1.232482E+001, -1.087873E+002,  0.000000E+000,  7.207932E+001,  1.333152E+000, -1.646637E+001,  3.201194E-001
  4.980497E+001, -9.626272E+001,  0.000000E+000, -8.511895E+001,  1.117399E+001, -9.303506E+000,  3.204619E-001
 -5.190511E-001, -8.179479E+001,  0.000000E+000,  7.669019E+001,  2.740450E+000, -1.487100E+001,  3.202542E-001
