 S11, S22, S33, S12, S23, S31, wp
  1.261208E+002,  2.825771E+001,  0.000000E+000,  1.375145E+002,  1.247699E+000,  1.138474E+000,  5.007826E-001
  1.372339E+002,  6.450734E+001,  0.000000E+000, -1.370339E+002, -2.271210E+000, -1.174159E+000,  5.002745E-001
  1.393594E+002,  6.321228E+001,  0.000000E+000,  1.385428E+002,  9.200491E-001,  1.115811E+000,  5.002480E-001
  1.453284E+002,  9.680773E+001,  0.000000E+000, -1.371006E+002, -2.500467E+000, -1.533112E+000,  5.003675E-001
  1.478288E+002,  9.431322E+001,  0.000000E+000,  1.381463E+002,  7.032347E-001,  9.239907E-001,  5.006024E-001
  1.462233E+002,  1.209476E+002,  0.000000E+000, -1.359044E+002, -2.248855E+000, -1.935658E+000,  5.001666E-001
  1.486626E+002,  1.176536E+002,  0.000000E+000,  1.366308E+002,  3.327207E-001,  7.379823E-001,  5.007523E-001
  1.467924E+002,  1.438411E+002,  0.000000E+000, -1.338561E+002, -1.870505E+000, -2.206855E+000,  5.007200E-001
  1.488600E+002,  1.399834E+002,  0.000000E+000,  1.343358E+002, -7.863408E-002,  5.612986E-001,  5.002797E-001
  1.471745E+002,  1.648674E+002,  0.000000E+000, -1.311934E+002, -1.517389E+000, -2.388387E+000,  5.002035E-001
  1.484982E+002,  1.608420E+002,  0.000000E+000,  1.315038E+002, -4.199017E-001,  5.217827E-001,  5.002046E-001
  1.473369E+002,  1.840113E+002,  0.000000E+000, -1.281019E+002, -1.178401E+000, -2.501429E+000,  5.002651E-001
  1.476191E+002,  1.801336E+002,  0.000000E+000,  1.282544E+002, -6.462379E-001,  5.571517E-001,  5.005473E-001
  1.469194E+002,  2.014677E+002,  0.000000E+000, -1.245448E+002, -9.333850E-001, -2.402267E+000,  5.000197E-001
  1.460534E+002,  1.978635E+002,  0.000000E+000,  1.245415E+002, -7.543779E-001,  6.483829E-001,  5.005114E-001
  1.459936E+002,  2.176883E+002,  0.000000E+000, -1.203243E+002, -8.257454E-001, -2.202526E+000,  5.005013E-001
  1.437716E+002,  2.140253E+002,  0.000000E+000,  1.203270E+002, -7.639151E-001,  6.947264E-001,  5.001006E-001
  1.446414E+002,  2.327242E+002,  0.000000E+000, -1.151041E+002, -9.047509E-001, -2.037198E+000,  5.001180E-001
  1.415372E+002,  2.287739E+002,  0.000000E+000,  1.149457E+002, -7.147193E-001,  7.152603E-001,  5.005231E-001
  1.423204E+002,  2.451542E+002,  0.000000E+000, -1.093236E+002, -9.940935E-001, -1.864285E+000,  5.004852E-001
  1.470365E+002,  2.559341E+002,  0.000000E+000, -1.027295E+002, -1.098869E+000, -1.776393E+000,  5.003703E-001
  1.509466E+002,  2.659017E+002,  0.000000E+000, -9.505370E+001, -1.146791E+000, -1.661700E+000,  5.007645E-001
  1.544200E+002,  2.755866E+002,  0.000000E+000, -8.625305E+001, -1.224430E+000, -1.536299E+000,  5.003953E-001
  1.578254E+002,  2.856937E+002,  0.000000E+000, -7.626956E+001, -1.296615E+000, -1.410789E+000,  5.001594E-001
  1.613156E+002,  2.963105E+002,  0.000000E+000, -6.498413E+001, -1.374527E+000, -1.361986E+000,  5.000721E-001
  1.648995E+002,  3.073166E+002,  0.000000E+000, -5.237247E+001, -1.360974E+000, -1.308299E+000,  5.003464E-001
  1.684614E+002,  3.184416E+002,  0.000000E+000, -3.856586E+001, -1.216021E+000, -1.241984E+000,  5.002130E-001
  1.712299E+002,  3.281427E+002,  0.000000E+000, -2.450647E+001, -9.914616E-001, -1.332430E+000,  5.003245E-001
  1.721818E+002,  3.323975E+002,  0.000000E+000, -9.121315E+000, -7.122265E-001, -1.722615E+000,  5.003603E-001
  1.719997E+002,  3.316159E+002,  0.000000E+000,  7.846561E+000, -4.277476E-001, -1.602860E+000,  5.002641E-001
  1.708157E+002,  3.270154E+002,  0.000000E+000,  2.329064E+001, -2.405572E-001, -1.035334E+000,  5.005893E-001
  1.680361E+002,  3.177069E+002,  0.000000E+000,  3.703298E+001, -1.275939E-001, -5.653187E-001,  5.004135E-001
  1.640552E+002,  3.064464E+002,  0.000000E+000,  5.082086E+001, -7.655975E-002, -2.604608E-001,  5.002264E-001
